# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr
reference 60 -57.5 15949460.2	8231646.36	15658066.2	3648405.11	4284905.6	28481361.8	14266211.1 	0.318519 	0.0	0.0 	12.0743083	155 4894114.23	3786629.92	3685846.41	3790473.85	3632589.51	6977180	3229284.53 	0.1	0.01
MIPAS 60 -52.5 23615851.6	1927892.09	13594011.2	4775647.79	3040390.67	37201121.3	14584595.3 	0.467595 	9655117.73	0.196877074 	17.8581617	122 4264006.07	3072492.59	3084512.41	3226459.67	3072659	6075166.72	2593954.78 	2093036.71	0.0458352629
SCIAMACHY 60 -52.5 -2520541.19	3322578.24	2580383.46	1211278.7	1045062.57	3959398.9	1773582 	0.298721 	-41517006.3	-1.01250936 	1.63287005	23 1821979.47	2128766.84	1748018.2	1529095.4	1457171.09	2779643.86	1730880.74 	3434392.62	0.0311189652
reference 60 -52.5 18714914.6	6556123.85	14634366.3	5750180.92	4972441.59	23703600.3	15783356.6 	0.314673 	0.0	0.0 	11.6320031	152 4858355.4	3787386.19	3681998.08	3785040.2	3611644.16	6916247.39	3199782.71 	0.1	0.01
MIPAS 60 -47.5 32046839.4	-307681.704	8043396.04	889630.578	-457929.498	36031794.9	7272322.12 	0.462007 	10094447.9	0.215116565 	17.4614854	122 3189585.12	2298302.7	2307293.83	2413473.99	2298427.17	4544379.4	1940344.23 	1571915.6	0.0354573206
SCIAMACHY 60 -47.5 -3326135.37	735907.425	535392.814	811773.784	68294.078	4777330.88	1582186.57 	0.286700 	-43406125.9	-1.00227401 	1.540752	23 1697012.86	1617320.25	1447023.84	1662242.73	1484151.91	2625641.76	1609548.34 	2683564.8	0.0214185139
reference 60 -47.5 24078954.7	1899340.1	7251793.73	3672813.24	2103751.96	25856090.2	9195424.31 	0.225286 	0.0	0.0 	7.36691991	152 4336081.35	3306038.38	3252537.96	3423540.55	3257238.83	6198774.86	2854515.46 	0.1	0.01
MIPAS 60 -42.5 33506881.5	-3736835.48	5738651.55	4466750.25	3262984.54	36981128.3	4396270.83 	0.477988 	9285293.57	0.197797116 	18.618521	122 2947788.57	2124072.62	2132382.15	2230512.99	2124187.66	4199878.4	1793250.32 	1491710.47	0.0334184193
SCIAMACHY 60 -42.5 -3461793.83	100244.865	1160330.88	1310387.95	447172.125	4348956.25	2849805.02 	0.400805 	-41303547.3	-0.981710096 	2.45265775	22 1632577.23	1802621.79	1519514.4	1653156.76	1421531.82	2649621.99	1743109.4 	2648734.78	0.0260853932
reference 60 -42.5 25501823.9	152786.513	6696254.62	6908058	5908088.11	25447328.5	7567846.63 	0.241034 	0.0	0.0 	7.9924747	151 4064316.32	3162310.64	3090317.81	3214862.54	3063591.01	5868311.45	2695609.03 	0.1	0.01
MIPAS 60 -37.5 31772723	-7541939.58	2223812.81	2925142.61	2164118.75	29513802.8	4702930.14 	0.486818 	8841151.17	0.204612295 	19.2887116	122 2506030.54	1805757.34	1812821.6	1896246.47	1805855.15	3570481.16	1524512.35 	1271112.53	0.0303364901
