#Column 1. Vacuum wavelength (nm)
#Column 2. Photons s-1 cm-2 nm-1
#Column 3. Watts m-2 nm-1
#Column 4. Watts m-2 cm (i.e., Watts per meter**2 per wavenumber)
#
#
   12994
  201.35  1.08532E+12  1.07074E-02
  201.36  1.10923E+12  1.09427E-02
  201.37  1.11030E+12  1.09527E-02
  201.38  1.08315E+12  1.06844E-02
  201.39  1.04181E+12  1.02761E-02
  201.40  1.00766E+12  9.93874E-03
  201.41  9.87805E+11  9.74242E-03
  201.42  9.74788E+11  9.61356E-03
  201.43  9.67349E+11  9.53972E-03
  201.44  9.75592E+11  9.62053E-03
  201.45  1.00202E+12  9.88066E-03
  201.46  1.02928E+12  1.01490E-02
  201.47  1.03106E+12  1.01660E-02
  201.48  9.95554E+11  9.81543E-03
  201.49  9.43362E+11  9.30040E-03
  201.50  9.16628E+11  9.03638E-03
  201.51  9.40609E+11  9.27234E-03
  201.52  9.99159E+11  9.84902E-03
  201.53  1.04985E+12  1.03482E-02
  201.54  1.05775E+12  1.04255E-02
  201.55  1.01915E+12  1.00446E-02
  201.56  9.61311E+11  9.47406E-03
  201.57  9.19072E+11  9.05733E-03
  201.58  9.10540E+11  8.97281E-03
  201.59  9.31974E+11  9.18357E-03
  201.60  9.66032E+11  9.51870E-03
  201.61  9.91379E+11  9.76797E-03
  201.62  9.93174E+11  9.78517E-03
  201.63  9.71580E+11  9.57194E-03
  201.64  9.39699E+11  9.25739E-03
  201.65  9.11994E+11  8.98401E-03
  201.66  8.97299E+11  8.83882E-03
  201.67  9.01969E+11  8.88438E-03
  201.68  9.26915E+11  9.12964E-03
  201.69  9.57175E+11  9.42722E-03
  201.70  9.72509E+11  9.57777E-03
  201.71  9.75306E+11  9.60484E-03
  201.72  9.91246E+11  9.76133E-03
  201.73  1.03490E+12  1.01907E-02
  201.74  1.08411E+12  1.06748E-02
  201.75  1.09695E+12  1.08007E-02
  201.76  1.05581E+12  1.03951E-02
  201.77  9.90200E+11  9.74862E-03
  201.78  9.50933E+11  9.36156E-03
  201.79  9.65088E+11  9.50044E-03
  201.80  1.02285E+12  1.00686E-02
  201.81  1.10172E+12  1.08444E-02
  201.82  1.18338E+12  1.16476E-02
  201.83  1.24599E+12  1.22632E-02
  201.84  1.26757E+12  1.24750E-02
  201.85  1.24936E+12  1.22952E-02
  201.86  1.21641E+12  1.19703E-02
  201.87  1.18503E+12  1.16610E-02
  201.88  1.14628E+12  1.12791E-02
  201.89  1.08980E+12  1.07228E-02
  201.90  1.02778E+12  1.01121E-02
  201.91  9.86232E+11  9.70282E-03
  201.92  9.79606E+11  9.63715E-03
  201.93  9.96829E+11  9.80610E-03
  201.94  1.01286E+12  9.96331E-03
  201.95  1.01370E+12  9.97108E-03
  201.96  1.00519E+12  9.88688E-03
  201.97  1.00398E+12  9.87449E-03
  201.98  1.02771E+12  1.01074E-02
  201.99  1.08049E+12  1.06259E-02
  202.00  1.14093E+12  1.12198E-02
  202.01  1.17663E+12  1.15703E-02
  202.02  1.17043E+12  1.15087E-02
  202.03  1.12691E+12  1.10803E-02
  202.04  1.06608E+12  1.04816E-02
  202.05  1.01625E+12  9.99122E-03
  202.06  9.96701E+11  9.79854E-03
  202.07  1.00333E+12  9.86322E-03
