# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr chisq
ACE-FTS 60 -62.5 -19720341.8	62976153.7	-31622770.6	1748698.1	23537077.4	19222288.2	1263913.03 	0.417649 	-4742997.54	-0.0959749462 	27.133161	227 39091903.2	54898235.8	32904539.3	19037803.4	21226343.2	4020980.79	953214.76 	1097047.51	0.0219423668	1.35883653e+09
MIPAS 60 -62.5 22066452	6952757.03	-2008253.98	18982382.7	3841638.88	52387361.8	10946772.1 	0.477018 	17457811.8	0.420058452 	18.3942872	121 5036068.39	3637139.45	3807640.39	3650954.38	3627143.97	7184295.04	3062447.1 	2647496	0.0543456328	2.98409527e+09
SCIAMACHY 60 -62.5 -2498681.49	5606063.57	-8274.27635	1210353.69	1905299.18	6214168.93	849354.732 	0.228460 	-38784085.8	-1.06049398 	1.08573259	22 5384559.12	8218081.63	3258550.06	4432733.66	3204129.83	4093529.39	2694957.3 	3538302.28	0.0440035641	1.24008636e+09
reference 60 -62.5 23925808.1	3181549.42	-136124.026	14530589.6	5513409.12	30703849.5	2372998.94 	0.247681 	0.0	0.0 	21.070348	384 2728244.13	2077627.47	2531848.13	2528133.04	1985302.57	4456204.97	1360618.15 	0.1	0.01	1.0
ACE-FTS 60 -57.5 14838347.3	13425432.4	-9488300.7	16325516.9	4211320.92	26662214.3	664703.206 	0.355971 	-7178456.97	-0.138757897 	7.83027857	85 7009753.71	10780130.4	6212925.42	10007210.5	3906818.69	8628357.37	2134784.71 	2265785.94	0.043551776	890550885
MIPAS 60 -57.5 21445885.8	5717099.6	4451201.87	16012627.5	3997276.05	40190200.3	13851296 	0.491007 	13180492.5	0.304169032 	19.6148515	122 4324781.79	3116285.43	3272447.03	3128476.57	3116454.21	6161757.26	2630926.92 	2164074.62	0.0438176157	1.90387183e+09
SCIAMACHY 60 -57.5 -2488065.72	5119739.95	-167780.788	2395532.5	546298.725	4152972	1241680.3 	0.197102 	-39994826.4	-1.04944878 	0.777377546	19 2859342.41	3798470.16	2725479.1	2731570.45	2419672.84	3744318.73	2474137.72 	3561334.13	0.0431005821	1.1252483e+09
reference 60 -57.5 21350869.6	6458708.86	4662256.44	12654158.3	5538510.61	29275064.8	7224727.56 	0.257637 	0.0	0.0 	13.8819796	240 3658226.45	2543646.55	3052752.1	2824084.44	2659121.74	5629178.17	2084163.28 	0.1	0.01	1.0
ACE-FTS 60 -52.5 22218353.1	-1608235.4	-7541948.85	32043841.8	7190752.51	24777032.3	1462169.61 	0.524029 	-10297233.7	-0.210060941 	7.70676407	42 6751743.99	12494305.5	6854351.4	14087536.8	5529344.33	13537089.9	3609798.89 	3210624.75	0.0564508166	518723717
MIPAS 60 -52.5 23615851.6	1927892.09	4775647.79	13594011.2	3040390.67	37201121.3	14584595.3 	0.467595 	12043467.2	0.258149889 	17.8581617	122 4264006.07	3072492.59	3226459.67	3084512.41	3072659	6075166.72	2593954.78 	2152680.9	0.0420590936	1.767844e+09
SCIAMACHY 60 -52.5 -2426556.52	4096445.3	2569330.89	1809352.76	1852339.09	4144024.69	1682118.17 	0.315466 	-40347800.8	-1.02962424 	1.45935213	19 2129273.46	2711948	2062519.44	2038123.01	1836778.22	2910938.87	1895274.11 	3633184.56	0.0393910878	1.10481866e+09
reference 60 -52.5 22131437.3	7285377.75	5483339.37	14207892.7	9846923.75	24614521.1	10293844.2 	0.295428 	0.0	0.0 	13.7670359	197 4185545.04	2996632.8	3320643.81	3097330.21	3027038.56	6259767.98	2551361 	0.1	0.01	1.0
ACE-FTS 60 -47.5 38894261.8	18352108.1	-15523235.7	7268744.75	-6476844.6	6078812.04	-3842284.71 	0.651494 	-14872638.2	-0.351339227 	7.16600787	23 4957089.56	4006258.77	5703291.25	3354932.51	5441472.12	10035229.4	2596602.37 	3115507.23	0.0636932512	311936385
MIPAS 60 -47.5 32046839.4	-307681.704	889630.578	8043396.04	-457929.498	36031794.9	7272322.12 	0.462007 	11246077.2	0.245687818 	17.4614854	122 3189585.12	2298302.7	2413473.99	2307293.83	2298427.17	4544379.4	1940344.23 	1670001.45	0.0365321228	1.34466249e+09
SCIAMACHY 60 -47.5 -3426889.48	1566738.15	1905515.03	1324955.8	862380.113	2212301.03	3054712.95 	0.316387 	-41856867.4	-1.01338662 	1.31131366	17 2056809.21	2673080.03	2105786.48	2055093.56	1824328.18	3606331.03	2083682.21 	2853484.95	0.0271308287	1.03355362e+09
reference 60 -47.5 29742854.6	8548158.54	47489.0253	8814219.97	4886975.62	26933795.9	3812511.97 	0.215999 	0.0	0.0 	8.08156638	176 3883842.85	2965677.51	3104118.77	2908304.61	2944210.99	5901661.24	2417003.46 	0.1	0.01	1.0
ACE-FTS 60 -42.5 32870952.7	1614539.99	-2792604.11	6666790.97	4117732.44	-15272284.1	692842.79 	0.489244 	-13151182.4	-0.32564811 	3.99117321	25 3595916.61	3063443.59	2980094.38	2444845.05	2942319.67	7688527.26	1889496.95 	2536720.8	0.0566692925	256126265
MIPAS 60 -42.5 33506881.5	-3736835.48	4466750.25	5738651.55	3262984.54	36981128.3	4396270.83 	0.477988 	11745555.9	0.264044398 	18.618521	122 2947788.57	2124072.62	2230512.99	2132382.15	2124187.66	4199878.4	1793250.32 	1503066.58	0.0337950874	1.2106228e+09
SCIAMACHY 60 -42.5 -3731911.04	500773.032	1339307.04	1062741.28	188121.459	4367280.26	2833074.41 	0.398403 	-40531069.5	-0.988288317 	2.20747411	20 1722019.36	1942299.71	1701769.8	1605592.26	1491073.57	2675547.4	1766439.88 	2563419.01	0.0281444302	1.1006151e+09
reference 60 -42.5 27144282	1248228.15	4077892.67	7508987.85	6966775.54	24405925	4482173.05 	0.203564 	0.0	0.0 	7.71041498	181 3660732.9	2848756.89	2879729.71	2762914.58	2730649.46	5459781.12	2343740.59 	0.1	0.01	1.0
ACE-FTS 60 -37.5 26038353.3	-5425185.34	-1526183.1	3637736.61	8672684.7	-8560892.37	234041.317 	0.652184 	-11445682.9	-0.31954466 	8.43786319	27 2662324.28	3279010.53	2093481.25	2821873.7	2179093.41	7546678.44	1839434.16 	2130801.83	0.0488210599	224472690
