 3547    2
  225.0    1.60637E-25    2.941558E-18
  225.1    1.60637E-25    2.973169E-18
  225.2    1.60637E-25    2.989479E-18
  225.3    1.60637E-25    2.999906E-18
  225.4    1.60637E-25    3.021043E-18
  225.5    1.60637E-25    3.047827E-18
  225.6    1.60637E-25    3.065847E-18
  225.7    1.60637E-25    3.086608E-18
  225.8    1.60637E-25    3.104581E-18
  225.9    1.60637E-25    3.125835E-18
  226.0    1.60637E-25    3.133638E-18
  226.1    1.60637E-25    3.168623E-18
  226.2    1.60637E-25    3.200937E-18
  226.3    1.60637E-25    3.24232E-18
  226.4    1.60637E-25    3.2572E-18
  226.5    1.60637E-25    3.277657E-18
  226.6    1.60637E-25    3.307018E-18
  226.7    1.60637E-25    3.327569E-18
  226.8    1.60637E-25    3.363398E-18
  226.9    1.60637E-25    3.400586E-18
  227.0    1.60637E-25    3.423972E-18
  227.1    1.60637E-25    3.445811E-18
  227.2    1.60637E-25    3.483304E-18
  227.3    1.60637E-25    3.500129E-18
  227.4    1.60637E-25    3.551377E-18
  227.5    1.60637E-25    3.597047E-18
  227.6    1.60637E-25    3.608623E-18
  227.7    1.60637E-25    3.65031E-18
  227.8    1.60637E-25    3.662214E-18
  227.9    1.60637E-25    3.685905E-18
  228.0    1.60637E-25    3.715173E-18
  228.1    1.60637E-25    3.740246E-18
  228.2    1.60637E-25    3.769701E-18
  228.3    1.60637E-25    3.806983E-18
  228.4    1.60637E-25    3.853005E-18
  228.5    1.60637E-25    3.875267E-18
  228.6    1.60637E-25    3.898512E-18
  228.7    1.60637E-25    3.929912E-18
  228.8    1.60637E-25    3.96007E-18
  228.9    1.60637E-25    4.000375E-18
  229.0    1.60637E-25    4.034446E-18
  229.1    1.60637E-25    4.075196E-18
  229.2    1.60637E-25    4.099801E-18
  229.3    1.60637E-25    4.134341E-18
  229.4    1.60637E-25    4.161031E-18
  229.5    1.60637E-25    4.197774E-18
  229.6    1.60637E-25    4.2385E-18
  229.7    1.60637E-25    4.272361E-18
  229.8    1.60637E-25    4.292185E-18
  229.9    1.60637E-25    4.320586E-18
  230.0    1.60637E-25    4.356134E-18
  230.1    1.60637E-25    4.389643E-18
  230.2    1.60637E-25    4.433204E-18
  230.3    1.60637E-25    4.457176E-18
  230.4    1.60637E-25    4.504534E-18
  230.5    1.60637E-25    4.53952E-18
  230.6    1.60637E-25    4.571037E-18
  230.7    1.60637E-25    4.606842E-18
  230.7926    1.60637E-25    4.64321E-18
  230.9192    1.60235E-25    4.97404E-18
  231.0457    1.59835E-25    4.92101E-18
  231.1721    1.59436E-25    4.86730E-18
  231.2985    1.59038E-25    5.09417E-18
  231.4248    1.58642E-25    4.85054E-18
  231.5511    1.58248E-25    5.04147E-18
  231.6772    1.57855E-25    4.97771E-18
  231.8033    1.57463E-25    5.18394E-18
  231.9294    1.57073E-25    5.31700E-18
  232.0553    1.56684E-25    5.20292E-18
  232.1812    1.56297E-25    5.40644E-18
  232.3071    1.55911E-25    5.41117E-18
  232.4328    1.55527E-25    5.30335E-18
  232.5585    1.55144E-25    5.34623E-18
  232.6841    1.54763E-25    5.62729E-18
  232.8097    1.54383E-25    5.54814E-18
  232.9352    1.54004E-25    5.34826E-18
  233.0606    1.53627E-25    5.48095E-18
  233.1860    1.53251E-25    5.50404E-18
  233.3112    1.52877E-25    5.52522E-18
  233.4365    1.52504E-25    5.57753E-18
  233.5616    1.52132E-25    5.60385E-18
  233.6867    1.51762E-25    5.65252E-18
  233.8117    1.51393E-25    5.67209E-18
  233.9367    1.51025E-25    5.72883E-18
  234.0616    1.50659E-25    5.78856E-18
  234.1864    1.50294E-25    5.84556E-18
  234.3111    1.49931E-25    5.91727E-18
  234.4358    1.49569E-25    5.98180E-18
  234.5605    1.49208E-25    6.03550E-18
  234.6850    1.48848E-25    6.07453E-18
  234.8095    1.48490E-25    6.10913E-18
  234.9339    1.48133E-25    6.13224E-18
  235.0583    1.47777E-25    6.14940E-18
  235.1826    1.47423E-25    6.17152E-18
  235.3068    1.47070E-25    6.21271E-18
  235.4310    1.46718E-25    6.26219E-18
  235.5551    1.46367E-25    6.31924E-18
  235.6792    1.46018E-25    6.38593E-18
  235.8031    1.45670E-25    6.44441E-18
  235.9271    1.45323E-25    6.51798E-18
  236.0509    1.44978E-25    6.58065E-18
  236.1747    1.44634E-25    6.62214E-18
  236.2984    1.44291E-25    6.65753E-18
  236.4221    1.43949E-25    6.68634E-18
  236.5457    1.43608E-25    6.72223E-18
  236.6692    1.43269E-25    6.76253E-18
  236.7927    1.42930E-25    6.81363E-18
  236.9161    1.42593E-25    6.87059E-18
  237.0395    1.42258E-25    6.92213E-18
  237.1628    1.41923E-25    6.96978E-18
  237.2860    1.41590E-25    7.01079E-18
  237.4091    1.41257E-25    7.05077E-18
  237.5322    1.40926E-25    7.09479E-18
  237.6553    1.40596E-25    7.14145E-18
  237.7783    1.40268E-25    7.18946E-18
  237.9012    1.39940E-25    7.23824E-18
  238.0240    1.39614E-25    7.29081E-18
  238.1468    1.39288E-25    7.34124E-18
  238.2696    1.38964E-25    7.38594E-18
  238.3922    1.38641E-25    7.43063E-18
  238.5149    1.38319E-25    7.47019E-18
  238.6374    1.37999E-25    7.50614E-18
  238.7599    1.37679E-25    7.52987E-18
  238.8824    1.37360E-25    7.55471E-18
  239.0047    1.37043E-25    7.60363E-18
  239.1270    1.36727E-25    7.65374E-18
  239.2493    1.36411E-25    7.71810E-18
  239.3715    1.36097E-25    7.79438E-18
  239.4936    1.35784E-25    7.86700E-18
  239.6157    1.35472E-25    7.94100E-18
  239.7377    1.35161E-25    8.00236E-18
  239.8597    1.34851E-25    8.04678E-18
  239.9816    1.34543E-25    8.07525E-18
  240.1034    1.34235E-25    8.09125E-18
  240.2252    1.33928E-25    8.09685E-18
  240.3470    1.33622E-25    8.11284E-18
  240.4686    1.33318E-25    8.14514E-18
